,phase,power,original_messages,summary
6,W1902A,TURKEY,,No messages sent or received.
0,S1903M,AUSTRIA,,No messages sent or received.
1,S1903M,ENGLAND,,No messages sent or received.
2,S1903M,FRANCE,,No messages sent or received.
3,S1903M,GERMANY,,No messages sent or received.
4,S1903M,ITALY,,No messages sent or received.
5,S1903M,RUSSIA,,No messages sent or received.
6,S1903M,TURKEY,,No messages sent or received.
0,F1903M,AUSTRIA,,No messages sent or received.
1,F1903M,ENGLAND,,No messages sent or received.
2,F1903M,FRANCE,,No messages sent or received.
3,F1903M,GERMANY,,No messages sent or received.
4,F1903M,ITALY,,No messages sent or received.
5,F1903M,RUSSIA,,No messages sent or received.
6,F1903M,TURKEY,,No messages sent or received.
0,W1903A,AUSTRIA,,No messages sent or received.
1,W1903A,ENGLAND,,No messages sent or received.
2,W1903A,FRANCE,,No messages sent or received.
3,W1903A,GERMANY,,No messages sent or received.
4,W1903A,ITALY,,No messages sent or received.
5,W1903A,RUSSIA,,No messages sent or received.
6,W1903A,TURKEY,,No messages sent or received.
0,S1904M,AUSTRIA,,No messages sent or received.
1,S1904M,ENGLAND,,No messages sent or received.
2,S1904M,FRANCE,,No messages sent or received.
3,S1904M,GERMANY,,No messages sent or received.
4,S1904M,ITALY,,No messages sent or received.
5,S1904M,RUSSIA,,No messages sent or received.
6,S1904M,TURKEY,,No messages sent or received.
0,S1904R,AUSTRIA,,No messages sent or received.
1,S1904R,ENGLAND,,No messages sent or received.
2,S1904R,FRANCE,,No messages sent or received.
3,S1904R,GERMANY,,No messages sent or received.
4,S1904R,ITALY,,No messages sent or received.
5,S1904R,RUSSIA,,No messages sent or received.
6,S1904R,TURKEY,,No messages sent or received.
0,F1904M,AUSTRIA,,No messages sent or received.
1,F1904M,ENGLAND,,No messages sent or received.
2,F1904M,FRANCE,,No messages sent or received.
3,F1904M,GERMANY,,No messages sent or received.
4,F1904M,ITALY,,No messages sent or received.
5,F1904M,RUSSIA,,No messages sent or received.
6,F1904M,TURKEY,,No messages sent or received.
0,W1904A,AUSTRIA,,No messages sent or received.
1,W1904A,ENGLAND,,No messages sent or received.
2,W1904A,FRANCE,,No messages sent or received.
3,W1904A,GERMANY,,No messages sent or received.
4,W1904A,ITALY,,No messages sent or received.
5,W1904A,RUSSIA,,No messages sent or received.
6,W1904A,TURKEY,,No messages sent or received.
0,S1905M,AUSTRIA,,No messages sent or received.
1,S1905M,ENGLAND,,No messages sent or received.
2,S1905M,FRANCE,,No messages sent or received.
3,S1905M,GERMANY,,No messages sent or received.
4,S1905M,ITALY,,No messages sent or received.
5,S1905M,RUSSIA,,No messages sent or received.
6,S1905M,TURKEY,,No messages sent or received.
0,F1905M,AUSTRIA,,No messages sent or received.
1,F1905M,ENGLAND,,No messages sent or received.
2,F1905M,FRANCE,,No messages sent or received.
3,F1905M,GERMANY,,No messages sent or received.
4,F1905M,ITALY,,No messages sent or received.
5,F1905M,RUSSIA,,No messages sent or received.
6,F1905M,TURKEY,,No messages sent or received.
0,W1905A,AUSTRIA,,No messages sent or received.
1,W1905A,ENGLAND,,No messages sent or received.
2,W1905A,FRANCE,,No messages sent or received.
3,W1905A,GERMANY,,No messages sent or received.
4,W1905A,ITALY,,No messages sent or received.
5,W1905A,RUSSIA,,No messages sent or received.
6,W1905A,TURKEY,,No messages sent or received.
